timestamp,text
11/15/2020 3:43,@TokopediaCare dm di mana ? kaga dpat kl di twitter
11/15/2020 3:22,@TokopediaCare barang saya nggak ada kabar beritanya
11/15/2020 3:17,@TokopediaCare Blm ada tuh https://t.co/J9ReVHcsMT
11/15/2020 3:14,@TokopediaCare @tokopedia minta tolong untuk ini saya ada masalah tentang transaksi
11/15/2020 3:14,@TokopediaCare @tokopedia minta tolong untuk ini saya ada masalah tentang transaksi
11/15/2020 2:56,@TokopediaCare tolong baca dm ya😊
11/15/2020 2:52,@TokopediaCare Blm sih cuman di tracking tdk ada status pada sabtu hingga hari ini. TJE0784008801710
11/15/2020 2:29,"Dear @tikijne @TokopediaCare ini jne trackingnya kl sabtu minggu ikut libur juga ya. Kok gak ada update tracking sejak sabtu,,,,!!!"
11/15/2020 2:24,Hihihi ini @TokopediaCare udah ga mau ngerespon gw lagi baik di pesan bantuan di app maupun di twitter 🤣🤣🤣 halo gim… https://t.co/Dy2bOZCgMZ
11/15/2020 2:20,"@TokopediaCare Halo, sudah di-DM lho"
11/15/2020 2:13,@TokopediaCare Mohon cek DM dan fast responnya dong karena waktu yg terbatas.
11/15/2020 1:52,@TokopediaCare hi Lisa (bukan blackpink) sudah kubales dmnya. ayo bales lagi biar aku HA HA HA HOW YOU LIKE THAT~
11/15/2020 1:43,@TokopediaCare cek DM ya kak...
11/15/2020 1:36,@TokopediaCare min tolong cek dm ya thank you
11/15/2020 1:34,@TokopediaCare @hamdaniJKT48 kmrn saya ampe ganti pin. baru jd bisa
11/15/2020 1:34,@TokopediaCare yang bener aja masa saya pengen ikut kejar diskon malah jadi flash sale sayur.. https://t.co/0gL6Tbpcbw
11/15/2020 1:31,"@TokopediaCare Iya paham maksyd saya kenapa hampir selalu pakai anter aja, padahal ada ejspedisi lain yg lebih mura… https://t.co/Riv0Vk4gyK"
11/15/2020 1:29,@TokopediaCare Kalau biaya ongkir yg ada parkirannya dicantumkan dong kok ditagihkan ke pembeli oleh driver grab/gojek keseringan soalnya
11/15/2020 1:17,@TokopediaCare Sudah
11/15/2020 1:06,@TokopediaCare Hallo min saya ga bisa ngasih ulasan di Tokopedia karena diriwayat transaksi nggak ada
11/15/2020 0:53,"@TokopediaCare Silakan cek DM, sdh saya kirim invoice nya"
11/15/2020 0:44,@TokopediaCare mohon info transaksi pembelian tiket pesawat saya masih dalam proses
11/15/2020 0:40,@TokopediaCare Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi penjual toped enak jadi pem… https://t.co/lUaGcucsri
11/15/2020 0:33,"@TokopediaCare Sudah juga melalui aplikasi komplain toped, mohon difollow up. Belum ada kejelasan mengenai keanehan… https://t.co/9IFg6vrhBx"
11/15/2020 0:13,"Admin @TokopediaCare saya ga bisa masuk akun saya, ada apakah gerangan? Tolong d bantu https://t.co/zVpwenspKg"
11/15/2020 0:10,"@tokopedia @TokopediaCare Hrs nya batas wkt sdh habis, sy monitor terus!!! https://t.co/LaSsfleLQO"
11/14/2020 23:57,@TokopediaCare mohon balas DM saya segera.
11/14/2020 23:50,@TokopediaCare Baik min...terima kasih ya
11/14/2020 23:47,"@TokopediaCare Okey, terima kasih kak :)"
11/14/2020 23:45,"@TokopediaCare buat yg baca tweet ini, jgn percaya topedcare lagi. Kalau toped  yg salah, kita dicuekin. Ini tweet… https://t.co/EJcNRPcPVC"
11/14/2020 23:30,"@TokopediaCare tarik saldo tokped ke ovo kok gabisa ya, tolong dibantu kak"
11/14/2020 23:21,"@TokopediaCare halo min, dari kemarin saya mau upload barang buat tambah produk di toko saya, tapi selalu gagal upl… https://t.co/H6LnAbBiK8"
11/14/2020 23:14,@TokopediaCare Mana DMnya?
11/14/2020 23:07,@TokopediaCare Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi penjual toped enak jadi pem… https://t.co/8IcKJCt3p1
11/14/2020 23:07,@TokopediaCare Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi penjual toped enak jadi pem… https://t.co/9XEVzjh1mT
11/14/2020 23:06,@TokopediaCare Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi penjual toped enak jadi pem… https://t.co/oppCmgTfJb
11/14/2020 23:06,@TokopediaCare @Deenov2 @kuspinasti1701 Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi pe… https://t.co/GeSgvuegkM
11/14/2020 23:06,@TokopediaCare Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi penjual toped enak jadi pem… https://t.co/bAzLpmqJti
11/14/2020 23:06,@TokopediaCare @tokopedia Ujung ujungnya paket kembali ke origin dan transaksi dibatalkan yangrugi penjual toped en… https://t.co/NR6X0yNPI2
11/14/2020 22:57,@TokopediaCare mau tanya untuk COD bisa pakai kurir apa ya
11/14/2020 22:53,"@TokopediaCare halo kak, saya seller baru di tokopedia, kan saya dapat resi otomatis siCepat, nah kl mau kirim kan… https://t.co/wT1e4dKTQj"
11/14/2020 22:51,@TokopediaCare Sekarang no resi tidak valid. Ini terus karena penjual atau krn ekspedisinya kak? Sudah lama bgt lho… https://t.co/aXTPLU2lT3
11/14/2020 22:17,@TokopediaCare Dicek apanya alamatnya aja orangnya ga dikenal payah nih toped @tokopedia gimana dengan pembeli pembeli ngacoooo kaya gini
11/14/2020 22:17,@TokopediaCare Dicek apanya alamatnya aja orangnya ga dikenal payah nih toped @tokopedia gimana dengan pembeli pembeli ngacoooo kaya gini
11/14/2020 21:57,@TokopediaCare kapan paylater diaktifkan kembali min?
11/14/2020 20:57,"@TokopediaCare selamat pagi min. Mau tanya, sekarang saya sudah membayar BPJS bulan November dan Desember, dan akan… https://t.co/zleJdrlz3d"
11/14/2020 20:46,@TokopediaCare Bkn di grabnya yg eror tp tokpednya...iya mesti lah saya jelaskan begitu ke mereka...yg saya khawati… https://t.co/Jkkr1d5Kgn
11/14/2020 20:40,"@tokopedia @TokopediaCare woy balikin duit gua, jangan lo bawa kabur https://t.co/7vbVPQGIbz"
11/14/2020 19:39,"@TokopediaCare kalo toped error, tweet dicuekin tdk berani reply kan :) Ini tweet saya yg ke 3. Ayo jwb knp orderan… https://t.co/geGNlqGPU2"
11/14/2020 18:02,@TokopediaCare @tokopedia tolong dong komplain sudah selesai tapi dana refund tidak kembali. No invoice: INV/20201113/XX/XI/674627994
11/14/2020 17:41,@TokopediaCare Engga ada ka terus gimana
11/14/2020 16:25,"@TokopediaCare ini tweet ke 2, tlg dijwb !!!! Knp inv terlampir dibatalkan? Saya cuma belanja 1x walau akun saya lb… https://t.co/XuqbgfPWnu"
11/14/2020 16:05,"@TokopediaCare MAKANYA CEK DM LAH, DI DM UDAH AKU JELASKAN SEMUA. 
KOK GINI AMAT PELAYANAN CS TOPED YA !!!!"
11/14/2020 15:32,"@TokopediaCare hari ini saya cuma 1x belanja spt screenshot terlampir, knp dibatalkan otomatis oleh sistem? Saya jg… https://t.co/lXBm9hYfSb"
11/14/2020 15:05,@TokopediaCare Siap Kak @TokopediaCare  terima kasih banyak.
11/14/2020 15:04,@anteraja_id @TokopediaCare Kalo memang tdk sanggup melayani dinamika pesanan Tokopedia jangan begaya pake nawarin… https://t.co/yzsXkFyXTz
11/14/2020 15:02,@tokopedia @TokopediaCare kenapa si kita g bisa pilih kurir untuk bebas ongkir. Ini logikanya 18k harusnya gratis o… https://t.co/YmobLkzfgM
11/14/2020 14:56,@anteraja_id Gini kak @anteraja_id saya seller tokopedia. pesanan yg masuk kami selalu request pick up sebelum jam… https://t.co/ZUOeUX4fZi
11/14/2020 14:52,@JNECare @TokopediaCare gmn ini? Ada pengembalian dana? Krn jaminan tepat waktu kan?
11/14/2020 14:47,RT @TokopediaCare: Chillin'bareng dooong @tokopedia. Jangan lupa minum air yang cukup ya! 🥤 https://t.co/v9dHdNyTRg
11/14/2020 14:36,@TokopediaCare chek DM min !!!
11/14/2020 14:32,"Saya dari magrib ada di rumah dan tidak ada kurir datang
Gimana sih ini si antaraja @TokopediaCare https://t.co/IN7xHrAxKw"
11/14/2020 14:02,demi allah ya tokped cek dm ya allah gw udh mt 4x @TokopediaCare
11/14/2020 14:02,"@TokopediaCare @Deenov2 @kuspinasti1701 Halo Tokopedia Care, bisakah saya ajukan proposal sponsorship untuk keperlu… https://t.co/BPZyLNV3wD"
11/14/2020 13:55,@TokopediaCare mimin bales dm ya
11/14/2020 13:54,"@Virdita -Info tambahan Kakak bisa menghubungi kami melalui Pesan Bantuan, Chat Bot, Live Chat (saat ini hanya ters… https://t.co/SeCHsCxrTa"
11/14/2020 13:54,"@Virdita - Info tambahan Kakak bisa menghubungi kami melalui Pesan Bantuan, Chat Bot, Live Chat (saat ini hanya ter… https://t.co/VlcNdglKAh"
11/14/2020 13:39,@TokopediaCare Sudah saya konfirmasi data yg diminta min.
11/14/2020 13:38,"!!!SEKADAR WARNING!!! BUAT YG JUALAN DI @tokopedia @TokopediaCare 

KL ADA DROPSHIPAN...INGET2 SAPA YG MINTA,CARI T… https://t.co/inCo6yjrQu"
11/14/2020 13:35,"@TokopediaCare UJUNG2NYA

BELA DIRI BISA NGAPUS GA BILANG2 KE YG UDAH NARO PRODUK

HAHAHA...
BACOT!!!"
11/14/2020 13:34,@TokopediaCare @Deenov2 @kuspinasti1701 Selamattt 👏👏
11/14/2020 13:23,"@TokopediaCare @Deenov2 @kuspinasti1701 sayang banget min yg kepilih satunya akun baru netes, 0"
11/14/2020 13:21,@TokopediaCare @kuspinasti1701 Makasih Ya Allah terharu aku 😅
11/14/2020 13:19,"RT @TokopediaCare: KABAR BAIK INI HARUS KAMU SEBARIN TOPPERS!

Dalam rangka meramaikan Hari Ayah Nasional pada tanggal 12 November besok, m…"
11/14/2020 13:15,@TokopediaCare BACOT!! TKG NGAPUS PRODUK ORG GA PK KONFIRMASI!!
11/14/2020 13:14,"RT @TokopediaCare: Sebentar lagi mimin mau infoin 2 Toppers beruntung kuis #HadiahUntukAyah kemarin nih Toppers. 

RT dulu yuk, siapa tau k…"
11/14/2020 13:12,@TokopediaCare siapp minn
11/14/2020 13:12,@TokopediaCare @Deenov2 @kuspinasti1701 Jiaaahhh.. Kuciwaaaa lageee... Kagaaa dapeeet...
11/14/2020 13:09,"RT @TokopediaCare: ✨Selamat!✨
Berikut 2 pemenang beruntung dari kuis #HadiahUntukAyah periode 10 November 2020.

@Deenov2
@Kuspinasti1701…"
11/14/2020 13:04,@TokopediaCare Makasih kak🙏
11/14/2020 12:54,"@TokopediaCare Kl gak diinfo gmn caranya? Komplain ke ekpedisi dan tokopedia gak direspon, makanya itu kan saya tan… https://t.co/FpmiFtXyGn"
11/14/2020 12:50,@TokopediaCare chek dm min
11/14/2020 12:46,@TokopediaCare min cek dm plis
11/14/2020 12:40,"@Bimosusenoo @TokopediaCare Halo Kak, agar tidak ada kesalahan informasi, demi keamanan data Kakak, mohon menginfor… https://t.co/CiqYIVdI6m"
11/14/2020 12:40,"@TokopediaCare malam, saya sudah bayar via virtual account BNI tapi blm masuk dan terkonfirmasi"
11/14/2020 12:33,"@TokopediaCare mohon bantuannya, transaksi saya dinyatakan melanggar S&amp;K promo karena ""manipulasi, penggunaan resi… https://t.co/yTo6rUcRvA"
11/14/2020 12:32,@TokopediaCare selamat malam. Sy melakukan transaksi pembelian sejak tgl 11 nov tapi smp skrg status paket sy blm d… https://t.co/s8Jjpag63K
11/14/2020 12:19,"@TokopediaCare Cuma mau ksi ingat, batas waktu sdh habis, jd silahkan refund uang sy. https://t.co/mxptBGoDsk"
11/14/2020 12:12,@TokopediaCare min plisplis bgt cek dm aku😭🙏🏻
11/14/2020 11:42,@TokopediaCare cek dm nya min
11/14/2020 11:31,@TokopediaCare Saya ingin mengajukan komplain sebagai tokopedia seller
11/14/2020 11:24,@TokopediaCare bagaimana cara mengajukan komplain sebagai tokopedia seller ?
11/14/2020 11:22,@TokopediaCare Bayar BPJS Ketenagakerjaan Badan Usaha dibikin bisa juga dong. Jangan hanya yang buat perorangan doang.
11/14/2020 11:02,@TokopediaCare cek dm min
11/14/2020 10:54,@TokopediaCare saya usul ada pilihan pengiriman ke pembeli pada jam kantor atau office hour...
